road_id,hour,speed,congestion_status
Minibus-Yolu,9,29,HEAVY
E5-Bridge,19,12,LOCKED
Minibus-Yolu,7,29,LOCKED
Kadikoy-Center,0,110,NORMAL
E5-Bridge,12,105,NORMAL
Minibus-Yolu,22,81,NORMAL
Bagdat-Caddesi,22,87,NORMAL
Tem-Seyrantepe,14,107,NORMAL
E5-Beylikduzu,1,92,NORMAL
Basin-Ekspres,4,114,NORMAL
Kadikoy-Center,20,34,NORMAL
Minibus-Yolu,18,30,LOCKED
Besiktas-Coast,16,87,NORMAL
Kadikoy-Center,3,100,NORMAL
E5-Bridge,3,105,NORMAL
Tem-Seyrantepe,1,120,NORMAL
Basin-Ekspres,17,18,HEAVY
Kadikoy-Center,11,71,NORMAL
Basin-Ekspres,19,9,LOCKED
Minibus-Yolu,21,117,NORMAL
E5-Bridge,15,11,HEAVY
Besiktas-Coast,19,12,LOCKED
E5-Bridge,14,119,NORMAL
Basin-Ekspres,18,15,HEAVY
E5-Beylikduzu,17,26,LOCKED
Tem-Seyrantepe,10,39,NORMAL
Tem-Seyrantepe,16,71,NORMAL
Sahil-Kennedy,0,75,NORMAL
Minibus-Yolu,9,12,HEAVY
Bagdat-Caddesi,1,98,NORMAL
Levent-Buyukdere,2,97,NORMAL
Tem-Seyrantepe,22,86,NORMAL
Levent-Buyukdere,20,30,NORMAL
Tem-Seyrantepe,22,33,HEAVY
E5-Bridge,10,19,LOCKED
Bagdat-Caddesi,13,93,NORMAL
Levent-Buyukdere,17,25,HEAVY
Tem-Seyrantepe,16,73,NORMAL
Basin-Ekspres,19,56,NORMAL
Basin-Ekspres,12,113,NORMAL
Kadikoy-Center,15,119,NORMAL
Levent-Buyukdere,12,81,NORMAL
Basin-Ekspres,2,108,NORMAL
Basin-Ekspres,2,80,NORMAL
Kadikoy-Center,7,29,LOCKED
E5-Bridge,3,80,NORMAL
Tem-Seyrantepe,12,84,NORMAL
Levent-Buyukdere,8,27,LOCKED
E5-Bridge,22,100,NORMAL
Basin-Ekspres,10,46,NORMAL
Levent-Buyukdere,1,97,NORMAL
Basin-Ekspres,16,72,NORMAL
E5-Bridge,13,84,NORMAL
Haliç-Bridge,19,30,NORMAL
Sahil-Kennedy,3,86,NORMAL
Bagdat-Caddesi,14,37,HEAVY
E5-Bridge,0,99,NORMAL
E5-Beylikduzu,18,5,HEAVY
Basin-Ekspres,13,30,HEAVY
Kadikoy-Center,19,9,HEAVY
Bagdat-Caddesi,13,92,NORMAL
Bagdat-Caddesi,1,94,NORMAL
Minibus-Yolu,15,96,NORMAL
Kadikoy-Center,10,36,NORMAL
E5-Beylikduzu,9,13,HEAVY
Levent-Buyukdere,10,22,LOCKED
Levent-Buyukdere,20,8,LOCKED
Tem-Seyrantepe,2,72,NORMAL
E5-Beylikduzu,8,53,NORMAL
Tem-Seyrantepe,23,108,NORMAL
Levent-Buyukdere,5,85,NORMAL
Tem-Kavacik,11,104,NORMAL
Basin-Ekspres,21,97,NORMAL
Kadikoy-Center,16,106,NORMAL
Basin-Ekspres,6,78,NORMAL
Basin-Ekspres,13,108,NORMAL
Tem-Seyrantepe,1,96,NORMAL
Basin-Ekspres,21,107,NORMAL
E5-Bridge,3,115,NORMAL
Tem-Seyrantepe,0,109,NORMAL
Levent-Buyukdere,10,30,LOCKED
Bagdat-Caddesi,14,90,NORMAL
Tem-Kavacik,21,88,NORMAL
Tem-Kavacik,6,71,NORMAL
Haliç-Bridge,21,118,NORMAL
Kadikoy-Center,19,32,NORMAL
Levent-Buyukdere,11,88,NORMAL
Sahil-Kennedy,20,22,LOCKED
