road_id,hour,speed,congestion_status
Minibus-Yolu,0,85,NORMAL
Kadikoy-Center,2,109,NORMAL
Tem-Seyrantepe,19,23,HEAVY
E5-Bridge,4,99,NORMAL
Levent-Buyukdere,3,108,NORMAL
Levent-Buyukdere,5,105,NORMAL
Levent-Buyukdere,8,37,NORMAL
Basin-Ekspres,17,41,NORMAL
Minibus-Yolu,4,107,NORMAL
Sahil-Kennedy,17,7,LOCKED
Levent-Buyukdere,5,85,NORMAL
Minibus-Yolu,22,101,NORMAL
Basin-Ekspres,7,30,NORMAL
Besiktas-Coast,5,82,NORMAL
Levent-Buyukdere,10,13,LOCKED
E5-Beylikduzu,15,88,NORMAL
Levent-Buyukdere,22,101,NORMAL
Haliç-Bridge,10,15,HEAVY
Haliç-Bridge,3,120,NORMAL
Haliç-Bridge,5,109,NORMAL
Levent-Buyukdere,1,70,NORMAL
Haliç-Bridge,16,74,NORMAL
Sahil-Kennedy,0,101,NORMAL
Haliç-Bridge,16,111,NORMAL
Levent-Buyukdere,5,73,NORMAL
Basin-Ekspres,14,98,NORMAL
Tem-Kavacik,6,98,NORMAL
Kadikoy-Center,4,104,NORMAL
Kadikoy-Center,13,81,NORMAL
Sahil-Kennedy,10,50,NORMAL
Besiktas-Coast,8,16,LOCKED
Tem-Seyrantepe,0,105,NORMAL
Kadikoy-Center,22,93,NORMAL
E5-Bridge,22,96,NORMAL
Basin-Ekspres,18,19,LOCKED
Basin-Ekspres,11,75,NORMAL
Tem-Kavacik,12,86,NORMAL
E5-Beylikduzu,6,116,NORMAL
Bagdat-Caddesi,22,70,NORMAL
Sahil-Kennedy,8,15,LOCKED
Haliç-Bridge,18,15,HEAVY
Besiktas-Coast,15,19,HEAVY
Levent-Buyukdere,2,72,NORMAL
E5-Bridge,19,44,NORMAL
Tem-Seyrantepe,15,95,NORMAL
Besiktas-Coast,7,28,HEAVY
Tem-Kavacik,10,20,LOCKED
Bagdat-Caddesi,11,74,NORMAL
Kadikoy-Center,6,86,NORMAL
Bagdat-Caddesi,7,9,HEAVY
Sahil-Kennedy,18,11,LOCKED
Haliç-Bridge,5,98,NORMAL
Basin-Ekspres,22,100,NORMAL
Kadikoy-Center,22,75,NORMAL
E5-Bridge,21,119,NORMAL
Besiktas-Coast,17,17,HEAVY
Kadikoy-Center,2,103,NORMAL
Sahil-Kennedy,6,78,NORMAL
Haliç-Bridge,12,91,NORMAL
Minibus-Yolu,8,9,LOCKED
Tem-Seyrantepe,13,93,NORMAL
Kadikoy-Center,15,88,NORMAL
E5-Bridge,10,25,HEAVY
Haliç-Bridge,4,88,NORMAL
Haliç-Bridge,13,91,NORMAL
E5-Beylikduzu,23,119,NORMAL
Tem-Seyrantepe,6,76,NORMAL
Tem-Kavacik,22,72,NORMAL
Minibus-Yolu,15,75,NORMAL
Besiktas-Coast,23,116,NORMAL
Besiktas-Coast,9,30,HEAVY
Sahil-Kennedy,22,82,NORMAL
E5-Bridge,23,118,NORMAL
Bagdat-Caddesi,19,42,NORMAL
Haliç-Bridge,7,19,LOCKED
Besiktas-Coast,13,95,NORMAL
E5-Beylikduzu,23,118,NORMAL
Basin-Ekspres,21,107,NORMAL
Levent-Buyukdere,9,37,NORMAL
Tem-Seyrantepe,9,5,LOCKED
Tem-Seyrantepe,16,81,NORMAL
Besiktas-Coast,12,108,NORMAL
E5-Beylikduzu,4,98,NORMAL
Haliç-Bridge,0,97,NORMAL
Besiktas-Coast,18,41,NORMAL
Bagdat-Caddesi,7,9,HEAVY
E5-Bridge,21,106,NORMAL
Tem-Kavacik,12,119,NORMAL
